Part B sections: 229
   • [Endocrine] 04-Thyroid-Disorders | parsed 12 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Endocrine] 05-Parathyroid-Disorders | parsed 10 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Endocrine] 06-Pyqs | parsed 64 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [ENT] 01-Ear-Anatomy | parsed 13 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [ENT] 02-Pathologies-Of-The-Ear | parsed 62 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [ENT] 03-Facial-Nerve | parsed 8 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [ENT] 04-Paranasal-Sinuses-Nose | parsed 41 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [ENT] 05-Ent-Trauma | parsed 7 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [ENT] 06-Infections-Tonsils | parsed 7 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [ENT] 07-Head-Neck-Spaces | parsed 7 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [ENT] 08-Larynx-Vocal-Cord-Palsy | parsed 31 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [ENT] 09-Oral-Cavity-Salivary-Glands | parsed 10 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [ENT] 10-Pyqs | parsed 87 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Forensic Medicine & Toxicology] 01-Injuries | parsed 14 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Forensic Medicine & Toxicology] 02-Ballistics | parsed 9 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Forensic Medicine & Toxicology] 03-Asphyxia | parsed 10 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Forensic Medicine & Toxicology] 04-Thanatology-Autopsy | parsed 22 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Forensic Medicine & Toxicology] 05-Medical-Law | parsed 31 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Forensic Medicine & Toxicology] 06-Sexual-Offences | parsed 9 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Forensic Medicine & Toxicology] 07-Human-Identification | parsed 18 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Forensic Medicine & Toxicology] 08-Toxicology | parsed 70 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Forensic Medicine & Toxicology] 09-Stroke | parsed 1 | idx 101 | missing: [2, 3, 4, 5, 6] | extra: [] | no-ans: []
   • [Forensic Medicine & Toxicology] 10-Pyqs | parsed 101 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [General Pathology] 01-Cell-Injury | parsed 21 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [General Pathology] 02-Miscellaneous-Pathology | parsed 32 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [General Pathology] 03-Neoplasia | parsed 21 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [General Pathology] 04-Pyqs | parsed 34 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [General Pharmacology] 01-General-Pharmacology | parsed 36 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Pharmacology] 02-Ans | parsed 30 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Pharmacology] 03-Anticancer-Drugs | parsed 11 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Pharmacology] 04-Pyqs | parsed 37 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Physiology] 01-Body-Fluid-Compartments | parsed 6 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Physiology] 02-Nerve-Muscle-Physiology | parsed 27 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Physiology] 03-Basics-Of-Cell-Cytoskeleton | parsed 10 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [General Physiology] 04-Exercise-Physiology | parsed 2 | idx 0 | missing: [] | extra: [3, 1] | no-ans: []
   • [General Physiology] 05-Miscellaneous | parsed 13 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [General Physiology] 06-Pyqs | parsed 24 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [GI & Hepatobiliary System] 01-Gi-Physiology | parsed 7 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [GI & Hepatobiliary System] 02-Gi-Pharmacology | parsed 9 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [GI & Hepatobiliary System] 03-Ascites-Chronic-Diarrhoea | parsed 16 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [GI & Hepatobiliary System] 04-Polyps-Syndromes | parsed 8 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [GI & Hepatobiliary System] 05-Ibd | parsed 11 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [GI & Hepatobiliary System] 06-Liver-Diseases | parsed 16 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [GI & Hepatobiliary System] 07-Viral-Hepatitis | parsed 14 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [GI & Hepatobiliary System] 08-Pyqs | parsed 42 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Hematology] 01-Rbc-Disorders | parsed 60 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Hematology] 02-Wbc-Disorders | parsed 52 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Hematology] 03-Platelet-Coagulation-Disorders | parsed 37 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Hematology] 04-Transfusion-Medicine | parsed 12 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Hematology] 05-Pyqs | parsed 87 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Immunology] 01-Basics-Of-Immunology | parsed 27 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Immunology] 02-Immunodeficiency-Disorders | parsed 14 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Immunology] 03-Transplant-Immunology | parsed 5 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Immunology] 04-Pyqs | parsed 16 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Microbiology] 01-Bacteriology | parsed 95 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Microbiology] 02-Antimicrobials | parsed 16 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Microbiology] 03-Tuberculosis-Att | parsed 21 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Microbiology] 04-Vector-Borne-Diseases | parsed 21 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Microbiology] 05-Mycology | parsed 40 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Microbiology] 06-Virology | parsed 46 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Microbiology] 07-Hiv-Art | parsed 15 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Microbiology] 08-Parasitology | parsed 60 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Microbiology] 09-General-Microbiology-Sterilisation | parsed 22 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Microbiology] 10-Pyqs | parsed 181 | idx 0 | missing: [] | extra: [1, 2, 3] | no-ans: [2]
   • [Neurology] 01-Sensory-Receptors-Nerve-Fibres | parsed 8 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Neurology] 02-Hypothalamus-Thalamus-Memory | parsed 12 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Neurology] 03-Basal-Ganglia-Movement-Disorders | parsed 11 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Neurology] 04-Dementia-Headache | parsed 24 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Neurology] 05-Meningitis-Demyelinating-Disorders | parsed 18 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Neurology] 06-Spinal-Cord-Lesions | parsed 19 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Neurology] 07-Stroke | parsed 21 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Neurology] 08-Seizures | parsed 19 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Neurology] 09-Pyqs | parsed 71 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 01-Anatomy-Prolapse | parsed 15 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
